path,vertex,name,x_mm,y_mm,interior_deg,exterior_turn_deg,outside_sector_deg
1,1,Top tip,0.0,97.8,36.62406541922229,143.3759345807777,323.3759345807777
1,2,Upper-right notch,22.065825977757704,31.12607885546557,251.68796729038885,-71.68796729038885,108.31203270961115
1,3,Right tip,93.28022598870056,31.12607885546557,39.1102782620365,140.8897217379635,320.8897217379635
1,4,Lower-right notch,36.89525926349784,-14.713538262989648,249.00277374207403,-69.00277374207403,110.99722625792597
1,5,Lower-right tip,64.07305169187742,-97.8,32.39949187644038,147.60050812355962,327.6005081235596
1,6,Bottom notch,0.0,-45.005807742189496,258.9749122388981,-78.97491223889813,101.02508776110187
1,7,Lower-left tip,-64.07305169187742,-97.8,32.39949187644038,147.60050812355962,327.6005081235596
1,8,Lower-left notch,-36.89525926349784,-14.713538262989648,249.00277374207403,-69.00277374207403,110.99722625792597
1,9,Left tip,-93.28022598870056,31.12607885546557,39.1102782620365,140.8897217379635,320.8897217379635
1,10,Upper-left notch,-22.065825977757704,31.12607885546557,251.68796729038885,-71.68796729038885,108.31203270961115
2,1,Top tip,0.0,85.90548837139382,36.62406541922229,143.3759345807777,323.3759345807777
2,2,Upper-right notch,19.366138722808493,27.388920381589536,251.68796729038885,-71.68796729038885,108.31203270961115
2,3,Right tip,82.75900518845336,27.388920381589536,39.1102782620365,140.8897217379635,320.8897217379635
2,4,Lower-right notch,32.54473285651219,-13.43407112244148,249.00277374207403,-69.00277374207403,110.99722625792597
2,5,Lower-right tip,56.5218868175268,-86.73571585293756,32.39949187644041,147.6005081235596,327.6005081235596
2,6,Bottom notch,0.0,-40.16344747139266,258.9749122388981,-78.97491223889814,101.02508776110187
2,7,Lower-left tip,-56.5218868175268,-86.73571585293756,32.39949187644041,147.6005081235596,327.6005081235596
2,8,Lower-left notch,-32.54473285651219,-13.43407112244148,249.00277374207403,-69.00277374207403,110.99722625792597
2,9,Left tip,-82.75900518845336,27.388920381589536,39.1102782620365,140.8897217379635,320.8897217379635
2,10,Upper-left notch,-19.366138722808493,27.388920381589536,251.68796729038885,-71.68796729038885,108.31203270961115
3,1,Top tip,0.0,66.8254731007513,36.62406541922229,143.3759345807777,323.3759345807777
3,2,Upper-right notch,15.035563777090779,21.394135309550272,251.68796729038885,-71.68796729038885,108.31203270961115
3,3,Right tip,65.8818891031045,21.394135309550272,39.11027826203653,140.88972173796347,320.88972173796344
3,4,Lower-right notch,25.56604277889808,-11.381674744835435,249.00277374207403,-69.00277374207403,110.99722625792597
3,5,Lower-right tip,44.40904472594844,-68.98747052128647,32.39949187644041,147.6005081235596,327.6005081235596
3,6,Bottom notch,0.0,-32.395805486785775,258.9749122388981,-78.97491223889811,101.02508776110187
